sample_id,no_of_analyses,area_of_analysis,laboratory,sample_date,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,S,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
,,,,,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
CA230344,5,fabric,Museo del Oro,08/06/2023,,,17.28,55.02,,1.54,1.93,0.67,0.05,3.21,,,38,47,737,7,170,16,22
CA230344,3,cream,Museo del Oro,08/06/2023,,1.68,14.52,58.44,,1.68,2.18,0.59,0.03,2.95,,21,21,,725,6,173,20,18
CA230344,3,red,Museo del Oro,08/06/2023,,,11.03,45.75,,1.16,1.43,0.5,0.03,6.18,,,38,,676,7,164,15,18
CA230344,3,red (ext),Museo del Oro,08/06/2023,,,18.24,48.18,,1.54,2.06,0.66,0.05,3.78,,,35,,805,6,187,17,16
CA230345,5,fabric,Museo del Oro,08/06/2023,,,14.73,52.53,,2.09,1.74,0.58,0.03,2.87,,,34,54,684,8,164,16,22
CA230345,3,red (ext),Museo del Oro,08/06/2023,,1.74,15.49,53.93,,1.48,1.67,0.73,0.06,3.92,,,36,,711,7,149,18,19
CA230345,3,red,Museo del Oro,08/06/2023,,,17.46,42.09,,0.94,1.04,0.51,0.08,6.06,,,39,,685,8,150,14,16
CA230346,5,fabric,Museo del Oro,08/06/2023,,1.85,8.01,36.06,,0.84,29.09,0.85,0.15,2.19,,,1164,28,507,9,83,12,848
CA230346,3,red,Museo del Oro,08/06/2023,,1.95,18.25,52.66,,2.07,1.3,0.84,0.06,6.34,,,50,,607,15,174,15,21
CA230347,3,red (ext),Museo del Oro,08/06/2023,,1.99,16.59,52.94,,1.52,2.41,0.8,0.06,5.2,,24,59,,560,10,229,19,24
CA230347,3,cream,Museo del Oro,08/06/2023,,1.69,14.92,60.73,,1.34,2.14,0.71,0.05,4.6,,18,58,,586,11,246,17,23
CA230347,5,fabric,Museo del Oro,08/06/2023,,1.93,15.31,55.46,,1.49,2.79,0.67,0.06,4.36,,20,61,46,599,10,218,12,23
CA230347,3,black ,Museo del Oro,08/06/2023,,1.69,16.08,55.42,,1.19,2.09,0.75,0.17,4.15,,24,67,,559,13,215,12,21
